,Unnamed: 0,MovieID,Title,Genres,Counts,Score
0,0,1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",0,0.0
1,1,2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",2077,4.15
2,2,3,Grumpier Old Men (1995),"['Comedy', 'Romance']",701,3.2
3,3,4,Waiting to Exhale (1995),"['Comedy', 'Drama']",478,3.02
4,4,5,Father of the Bride Part II (1995),['Comedy'],170,2.73
5,5,6,Heat (1995),"['Action', 'Crime', 'Thriller']",296,3.01
6,6,7,Sabrina (1995),"['Comedy', 'Romance']",940,3.88
7,7,8,Tom and Huck (1995),"['Adventure', ""Children's""]",458,3.41
8,8,9,Sudden Death (1995),['Action'],68,3.01
9,9,10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",102,2.66
10,10,11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",888,3.54
11,11,12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",1033,3.79
12,12,13,Balto (1995),"['Animation', ""Children's""]",160,2.36
13,13,14,Nixon (1995),['Drama'],99,3.26
14,14,15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",153,3.54
15,15,16,Casino (1995),"['Drama', 'Thriller']",146,2.46
16,16,17,Sense and Sensibility (1995),"['Drama', 'Romance']",682,3.79
17,17,18,Four Rooms (1995),['Thriller'],835,4.03
18,18,19,Ace Ventura: When Nature Calls (1995),['Comedy'],157,3.34
19,19,20,Money Train (1995),['Action'],389,2.48
20,20,21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",160,2.54
21,21,22,Copycat (1995),"['Crime', 'Drama', 'Thriller']",1356,3.62
22,22,23,Assassins (1995),['Thriller'],378,3.35
23,23,24,Powder (1995),"['Drama', 'Sci-Fi']",126,2.86
24,24,25,Leaving Las Vegas (1995),"['Drama', 'Romance']",624,3.18
25,25,26,Othello (1995),['Drama'],980,3.65
26,26,27,Now and Then (1995),['Drama'],100,3.53
27,27,28,Persuasion (1995),['Romance'],61,2.93
28,28,29,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",179,4.06
29,29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],403,4.06
30,30,31,Dangerous Minds (1995),['Drama'],74,3.65
31,31,32,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",141,3.11
32,32,33,Wings of Courage (1995),"['Adventure', 'Romance']",1511,3.95
33,33,34,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",4,3.0
34,34,35,Carrington (1995),"['Drama', 'Romance']",1751,3.89
35,35,36,Dead Man Walking (1995),['Drama'],70,3.31
36,36,37,Across the Sea of Time (1995),['Documentary'],928,3.96
37,37,38,It Takes Two (1995),['Comedy'],8,3.5
38,38,39,Clueless (1995),"['Comedy', 'Romance']",28,2.82
39,39,40,"Cry, the Beloved Country (1995)",['Drama'],1362,3.62
40,40,41,Richard III (1995),"['Drama', 'War']",30,3.93
41,41,42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",242,3.96
42,42,43,Restoration (1995),['Drama'],221,2.87
43,43,44,Mortal Kombat (1995),"['Action', 'Adventure']",166,3.45
44,44,45,To Die For (1995),"['Comedy', 'Drama']",311,2.79
45,45,46,How to Make an American Quilt (1995),"['Drama', 'Romance']",544,3.42
46,46,47,Seven (Se7en) (1995),"['Crime', 'Thriller']",166,3.11
47,47,48,Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']",1137,4.11
48,48,49,When Night Is Falling (1995),"['Drama', 'Romance']",382,2.98
49,49,50,"Usual Suspects, The (1995)","['Crime', 'Thriller']",27,3.74
50,50,51,Guardian Angel (1994),"['Action', 'Drama', 'Thriller']",1783,4.52
51,51,52,Mighty Aphrodite (1995),['Comedy'],0,0.0
52,52,53,Lamerica (1994),['Drama'],431,3.64
53,53,54,"Big Green, The (1995)","[""Children's"", 'Comedy']",8,4.75
54,54,55,Georgia (1995),['Drama'],41,2.56
55,55,56,Kids of the Round Table (1995),"['Adventure', ""Children's"", 'Fantasy']",45,3.07
56,56,57,Home for the Holidays (1995),['Drama'],9,2.0
57,57,58,"Postino, Il (The Postman) (1994)","['Drama', 'Romance']",99,3.4
58,58,59,"Confessional, The (Le Confessionnal) (1995)","['Drama', 'Mystery']",501,4.09
59,59,60,"Indian in the Cupboard, The (1995)","['Adventure', ""Children's"", 'Fantasy']",8,2.75
60,60,61,Eye for an Eye (1996),"['Drama', 'Thriller']",357,3.21
61,61,62,Mr. Holland's Opus (1995),['Drama'],67,3.0
62,62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy'],541,3.7
63,63,64,Two if by Sea (1996),"['Comedy', 'Romance']",111,2.86
64,64,65,Bio-Dome (1996),['Comedy'],79,2.27
65,65,66,Lawnmower Man 2: Beyond Cyberspace (1996),"['Sci-Fi', 'Thriller']",143,2.06
66,66,67,Two Bits (1995),['Drama'],97,1.67
67,67,68,French Twist (Gazon maudit) (1995),"['Comedy', 'Romance']",4,3.25
68,68,69,Friday (1995),['Comedy'],60,3.45
69,69,70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']",319,3.66
70,70,71,Fair Game (1995),['Action'],914,3.16
71,71,72,Kicking and Screaming (1995),"['Comedy', 'Drama']",96,2.1
72,72,73,"Mis�rables, Les (1995)","['Drama', 'Musical']",93,3.63
73,73,74,Bed of Roses (1996),"['Drama', 'Romance']",224,3.82
74,74,75,Big Bully (1996),"['Comedy', 'Drama']",120,2.98
75,75,76,Screamers (1995),"['Sci-Fi', 'Thriller']",12,1.92
76,76,77,Nico Icon (1995),['Documentary'],178,2.85
77,77,78,"Crossing Guard, The (1995)",['Drama'],34,3.76
78,78,79,"Juror, The (1996)","['Drama', 'Thriller']",50,3.26
79,79,80,"White Balloon, The (Badkonake Sefid ) (1995)",['Drama'],114,2.61
